date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,avg_gain,avg_loss,RSI_30,monthly_mean,EMA_30,EMA_200
02-06-1998,0.3636,0.3709,0.3459,0.000271342,0.005009924,0.000543228,0.000419087,0.000429652,0.005466667,0.00642,0.36842852,0.372043333,0.000448604,0.000402644
03-06-1998,0.374,0.3771,0.35,0.000221706,0.003797961,0.000543482,0.000424707,0.000435787,0.005466667,0.006656667,0.356374757,0.370853333,0.000444191,0.000406416
04-06-1998,0.3578,0.3661,0.3437,0.000277546,0.002611796,0.000544763,0.000431771,0.000442348,0.005916667,0.005846667,0.426262558,0.370923333,0.000443851,0.000410818
05-06-1998,0.3645,0.3697,0.3593,0.000290369,0.001438858,0.000547244,0.000438881,0.000448832,0.00602,0.00498,0.485736012,0.371963333,0.000444403,0.000415329
08-06-1998,0.3651,0.3859,0.3625,0.000359445,0.002961294,0.000550804,0.000445968,0.000455731,0.00604,0.00498,0.486839151,0.373023333,0.000449604,0.000420621
09-06-1998,0.387,0.4323,0.3854,0.000531929,0.013410637,0.000557196,0.000454458,0.000463734,0.00743,0.004686667,0.574256306,0.375766667,0.000466169,0.000427921
10-06-1998,0.4302,0.4687,0.425,0.000630787,0.017034969,0.000565368,0.000463869,0.000472319,0.00644,0.004686667,0.528050543,0.37752,0.000488371,0.00043633
11-06-1998,0.4604,0.5218,0.4583,0.000919501,0.025683537,0.000579783,0.000476886,0.000482524,0.008766667,0.00467,0.626937879,0.381616667,0.000528724,0.000448105
12-06-1998,0.5291,0.5291,0.4854,0.000867797,0.015069193,0.000591427,0.000488949,0.000492262,0.008766667,0.004566667,0.633726628,0.385816667,0.000562967,0.000459145
15-06-1998,0.4958,0.5708,0.4927,0.001031595,0.024076142,0.000604737,0.000502572,0.000503019,0.009706667,0.004566667,0.664010273,0.390956667,0.000606111,0.000472032
16-06-1998,0.5562,0.6146,0.5541,0.001302937,0.028163435,0.000624554,0.000519084,0.000515338,0.011786667,0.004566667,0.718645917,0.398176667,0.000664876,0.000488033
17-06-1998,0.6323,0.6765,0.6281,0.001488244,0.028984565,0.000649894,0.000538128,0.000528818,0.01328,0.004353333,0.762104371,0.407103333,0.000732419,0.000506089
18-06-1998,0.675,0.6875,0.598,0.001245029,0.022537376,0.000671315,0.000554742,0.000540815,0.01328,0.00585,0.682996647,0.414533333,0.000779107,0.00052106
19-06-1998,0.5922,0.6354,0.5667,0.001378631,0.026305415,0.000694331,0.000572994,0.00055364,0.01427,0.00585,0.703198594,0.422953333,0.000831846,0.000537477
22-06-1998,0.6229,0.6864,0.602,0.001570142,0.026028494,0.000718988,0.000593343,0.000567346,0.015623333,0.00585,0.727801042,0.432726667,0.000894172,0.00055602
23-06-1998,0.6755,0.7729,0.6708,0.001960196,0.026890812,0.000752255,0.000617623,0.000583466,0.018766667,0.005086667,0.807260258,0.446406667,0.000978934,0.000579039
24-06-1998,0.7917,0.8396,0.7427,0.002205893,0.04277895,0.000789686,0.000644749,0.000600442,0.020123333,0.005086667,0.822667668,0.461443333,0.001074893,0.000604764
25-06-1998,0.8333,0.8729,0.8,0.002179834,0.039602584,0.000826951,0.000670931,0.000616962,0.019913333,0.005296667,0.811483812,0.47606,0.001162894,0.000629923
26-06-1998,0.8125,0.8354,0.7812,0.002013968,0.022168514,0.000859832,0.000695363,0.000632406,0.019913333,0.00645,0.765088857,0.489523333,0.001233967,0.000652849
29-06-1998,0.7895,0.8302,0.7895,0.00216908,0.017202025,0.000897325,0.00072174,0.000648967,0.021163333,0.00618,0.790119011,0.504506667,0.001310975,0.0006774
30-06-1998,0.815,0.8458,0.8062,0.002203411,0.015234499,0.000935774,0.000748787,0.000665071,0.02144,0.005963333,0.801398749,0.519983333,0.001385344,0.000702117
01-07-1998,0.8484,0.9541,0.8396,0.002698941,0.020003948,0.000985157,0.000781454,0.000684898,0.02511,0.005963333,0.835905894,0.53913,0.001488526,0.000732509
02-07-1998,0.9646,1.0458,0.9375,0.003039359,0.037968924,0.001043887,0.000818052,0.00070645,0.027853333,0.00572,0.864823107,0.561263333,0.001608142,0.000766667
06-07-1998,1.0615,1.1729,1.0458,0.00357377,0.033863991,0.001116225,0.000859593,0.000731154,0.032143333,0.00572,0.890740132,0.587686667,0.00175629,0.00080687
07-07-1998,1.1917,1.1979,1.0083,0.002974833,0.034210356,0.001174455,0.000894454,0.000752395,0.032143333,0.010163333,0.771033759,0.609666667,0.001854254,0.000839516
08-07-1998,0.9323,0.9917,0.8531,0.002457794,0.042480623,0.001222496,0.000923603,0.000769707,0.032143333,0.013756667,0.691176934,0.628053333,0.001910827,0.00086566
09-07-1998,0.9219,0.9709,0.875,0.002401954,0.020931569,0.001264654,0.000952294,0.000785996,0.031483333,0.014206667,0.676104282,0.64533,0.001959963,0.000890876
10-07-1998,0.8584,0.8823,0.8177,0.002195139,0.017558414,0.001302471,0.000978768,0.000800885,0.031483333,0.01578,0.645307803,0.661033333,0.001991901,0.00091337
13-07-1998,0.8042,0.9,0.7855,0.002475167,0.013281511,0.001347592,0.001008547,0.000817771,0.033436667,0.01578,0.663098458,0.67869,0.002040772,0.000938986
14-07-1998,0.9041,0.9646,0.8916,0.002729136,0.017838314,0.001397098,0.001040802,0.000836555,0.035483333,0.015433333,0.686611918,0.69874,0.002103717,0.000967382
15-07-1998,0.9667,0.9781,0.9146,0.002643101,0.012044898,0.001444499,0.001072002,0.000854711,0.03524,0.016126667,0.672055066,0.717853333,0.002156765,0.000994468
16-07-1998,0.9453,0.9583,0.9042,0.002673296,0.009344822,0.001493102,0.001103225,0.000873203,0.035483333,0.015726667,0.681252518,0.73761,0.002208439,0.001021645
17-07-1998,0.9364,1.0041,0.9323,0.002895002,0.012205973,0.001547623,0.001136929,0.000892661,0.03682,0.015726667,0.691740814,0.758703333,0.002271817,0.0010512
20-07-1998,1.0093,1.1677,0.9979,0.003504694,0.025739656,0.00161484,0.001177262,0.000916186,0.04163,0.015726667,0.725438324,0.784606667,0.002372462,0.001087747
21-07-1998,1.1437,1.225,1.0666,0.003317319,0.034266269,0.001677586,0.001214174,0.000938594,0.041073333,0.017236667,0.696689036,0.808443333,0.002453903,0.001121691
22-07-1998,1.1167,1.1657,1.0875,0.003384327,0.019795785,0.00174376,0.001251017,0.000961399,0.040223333,0.017236667,0.690818082,0.83143,0.002534636,0.001156097
23-07-1998,1.0833,1.1541,1.0583,0.003164276,0.01967202,0.001803629,0.00128554,0.000982744,0.039426667,0.01901,0.656806577,0.851846667,0.002595234,0.001187532
24-07-1998,1.0771,1.0958,0.975,0.003048045,0.020541943,0.001860482,0.001319629,0.001003472,0.0371,0.019946667,0.624120019,0.869,0.002644038,0.001217266
27-07-1998,0.9927,1.0615,0.9636,0.003093545,0.020436094,0.001918783,0.001353902,0.001024539,0.037466667,0.01953,0.633523068,0.886936667,0.002692781,0.001247247
28-07-1998,1.0369,1.05,0.9833,0.002864807,0.014390002,0.001972944,0.001385315,0.001044548,0.036146667,0.021373333,0.59468275,0.90171,0.002722863,0.001274197
