date,open,high,low,close,volume
09-09-1998,0.7459,0.7698,0.6948,0.7042,2982844
10-09-1998,0.6614,0.6708,0.6271,0.6635,5328037
11-09-1998,0.6532,0.674,0.6125,0.6339,3935611
14-09-1998,0.6698,0.6709,0.6125,0.6141,2510139
15-09-1998,0.5901,0.6229,0.5864,0.6083,2871246
16-09-1998,0.6188,0.7162,0.5959,0.7042,6520114
17-09-1998,0.6703,0.6959,0.6375,0.6417,7076675
18-09-1998,0.648,0.6766,0.6474,0.6641,2790543
21-09-1998,0.6333,0.724,0.6333,0.7125,3961204
22-09-1998,0.7354,0.7625,0.7302,0.7349,5050904
23-09-1998,0.7567,0.8791,0.75,0.876,7597019
24-09-1998,0.8927,0.9739,0.8458,0.851,8520375
25-09-1998,0.8208,0.9218,0.8208,0.9104,6099583
28-09-1998,0.9698,1,0.9323,0.9635,6433884
29-09-1998,0.9771,0.9964,0.9292,0.9427,6389306
30-09-1998,0.9292,0.9625,0.9068,0.9302,4905105
01-10-1998,0.9,0.925,0.8333,0.8552,5727006
02-10-1998,0.8775,0.9322,0.8416,0.9187,5748887
05-10-1998,0.9073,0.925,0.8416,0.8833,4082550
06-10-1998,0.9292,0.9354,0.8667,0.9026,4695304
07-10-1998,0.8552,0.8729,0.7604,0.7786,7138702
08-10-1998,0.6906,0.7333,0.6666,0.7182,5063869
09-10-1998,0.7521,0.7656,0.6979,0.7599,3454504
12-10-1998,0.8094,0.8417,0.775,0.7766,3636360
13-10-1998,0.7651,0.7948,0.7552,0.7615,1780980
14-10-1998,0.7589,0.8136,0.7479,0.7792,2598514
15-10-1998,0.7855,0.8157,0.7709,0.8089,2828619
16-10-1998,0.8218,0.8494,0.8083,0.8286,3567360
19-10-1998,0.8249,0.8906,0.8249,0.8812,2779993
20-10-1998,0.9063,0.9375,0.8885,0.8896,3194603
21-10-1998,0.912,0.9188,0.8802,0.9167,2103079
22-10-1998,0.8968,0.9823,0.8948,0.9557,4449049
23-10-1998,0.9542,0.9859,0.951,0.9677,2270802
26-10-1998,0.9927,1.0157,0.973,1.012,3252910
27-10-1998,1.0344,1.05,0.9672,0.9693,3360819
28-10-1998,0.9744,0.9958,0.9521,0.9755,3315190
29-10-1998,1.011,1.0605,0.9917,1.0542,5488878
30-10-1998,1.0552,1.0817,1.0385,1.0536,3529792
02-11-1998,1.0677,1.0953,1.0375,1.0917,5249166
03-11-1998,1.0927,1.1088,1.0479,1.0505,3064606
04-11-1998,1.0948,1.1,1.0552,1.0818,3397308
05-11-1998,1.064,1.0843,1.0521,1.0708,2455326
06-11-1998,1.05,1.0687,1.0333,1.038,3148902
09-11-1998,1.0156,1.062,1.0063,1.0573,3640604
10-11-1998,1.0687,1.1666,1.0677,1.0979,5729130
11-11-1998,1.1135,1.1188,1.0438,1.0552,2743303
12-11-1998,1.0459,1.1073,1.0417,1.0917,1995863
13-11-1998,1.0995,1.1125,1.0477,1.0646,1490102
16-11-1998,1.0708,1.0823,1.0292,1.0521,1982902
17-11-1998,1.0781,1.2854,1.0708,1.2375,10190310
18-11-1998,1.2636,1.4219,1.2625,1.3667,9855850
19-11-1998,1.425,1.4625,1.275,1.2771,6482607
20-11-1998,1.4583,1.5146,1.375,1.5052,11152110
23-11-1998,1.5907,1.8209,1.5506,1.8167,11297119
24-11-1998,1.8667,1.9427,1.7083,1.7875,13612614
25-11-1998,1.8042,1.8625,1.7083,1.7526,4587104
27-11-1998,1.8104,1.8167,1.775,1.8052,1597802
30-11-1998,1.8302,1.8354,1.5979,1.6,4958705
01-12-1998,1.5458,1.7479,1.5166,1.7458,7858858
02-12-1998,1.7245,1.7292,1.6464,1.6625,4941505
03-12-1998,1.6594,1.7042,1.5417,1.5792,3639481
04-12-1998,1.6291,1.6416,1.5208,1.5708,3709525
07-12-1998,1.6084,1.6167,1.5427,1.5917,2629058
08-12-1998,1.5802,1.7156,1.5708,1.7005,4258221
