date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,delta,gains,loss,avg_gain,avg_loss,rs,RSI_30,monthly_mean,EMA_30,EMA_200
20-08-1997,0.1093,0.1093,0.1036,0.1083,82862,0.100962,,,0,0,0,0.002183333,0.002443333,0.893587995,47.19020173,0.113176667,0.108116943,0.09789633
21-08-1997,0.1067,0.1085,0.1036,0.1057,51975,0.101534,,,-0.0026,0,0.0026,0.001783333,0.00253,0.704874835,41.3446677,0.11243,0.107961011,0.097973978
22-08-1997,0.1052,0.1062,0.1047,0.1062,59372,0.102054,,,0.0005,0.0005,0,0.0018,0.00208,0.865384615,46.39175258,0.11215,0.107847398,0.098055829
25-08-1997,0.1052,0.1129,0.1052,0.1109,93858,0.102688,,,0.0047,0.0047,0,0.001956667,0.00182,1.075091575,51.80935569,0.112286667,0.10804434,0.098183632
26-08-1997,0.112,0.1177,0.1115,0.1172,217500,0.10346,,,0.0063,0.0063,0,0.001663333,0.00182,0.913919414,47.75119617,0.11213,0.108635027,0.098372849
27-08-1997,0.1154,0.1162,0.1125,0.1159,116000,0.104272,,,-0.0013,0,0.0013,0.001663333,0.00169,0.984220907,49.60238569,0.112103333,0.109103735,0.098547249
28-08-1997,0.1151,0.1197,0.114,0.1187,95560,0.105136,,,0.0028,0.0028,0,0.001756667,0.001496667,1.173719376,53.99590164,0.112363333,0.109722849,0.098747774
29-08-1997,0.1182,0.1187,0.1161,0.1169,60174,0.105964,,,-0.0018,0,0.0018,0.001756667,0.001453333,1.208715596,54.72481828,0.112666667,0.110185891,0.098928393
02-09-1997,0.1172,0.1188,0.1167,0.1177,61000,0.106792,,,0.0008,0.0008,0,0.00174,0.001453333,1.197247706,54.48851775,0.112953333,0.110670672,0.099115175
03-09-1997,0.1173,0.1209,0.1156,0.1167,163770,0.107626,,,-0.001,0,0.001,0.00174,0.00141,1.234042553,55.23809524,0.113283333,0.111059661,0.099290149
04-09-1997,0.1183,0.1276,0.1172,0.1276,279000,0.108668,,,0.0109,0.0109,0,0.001843333,0.00141,1.307328605,56.65983607,0.113716667,0.11212678,0.099571839
05-09-1997,0.1292,0.1334,0.1229,0.125,159000,0.109658,,,-0.0026,0,0.0026,0.001843333,0.001443333,1.277136259,56.0851927,0.114116667,0.11295731,0.099824855
08-09-1997,0.1266,0.1511,0.125,0.15,470700,0.111148,,,0.025,0.025,0,0.002676667,0.001393333,1.921052632,65.76576577,0.1154,0.115347161,0.10032411
09-09-1997,0.1571,0.1693,0.1513,0.162,747601,0.112898,,,0.012,0.012,0,0.002923333,0.001393333,2.098086124,67.72200772,0.11693,0.118357022,0.100937801
10-09-1997,0.1656,0.1664,0.1563,0.1651,322200,0.114658,,,0.0031,0.0031,0,0.002763333,0.001393333,1.983253589,66.47955092,0.1183,0.121372698,0.101576231
11-09-1997,0.1667,0.1667,0.1521,0.1578,355200,0.116298,,,-0.0073,0,0.0073,0.002763333,0.001583333,1.745263158,63.57361963,0.11948,0.123722846,0.102135671
12-09-1997,0.1594,0.185,0.1578,0.1844,277876,0.118398,,,0.0266,0.0266,0,0.00365,0.001496667,2.438752784,70.91968912,0.121633333,0.127637501,0.102954222
15-09-1997,0.1834,0.1839,0.1526,0.1547,465300,0.11958,,,-0.0297,0,0.0297,0.003616667,0.002486667,1.454423592,59.25723648,0.122763333,0.129383469,0.103469105
16-09-1997,0.1563,0.1771,0.156,0.1677,536000,0.120934,,,0.013,0.013,0,0.00405,0.002313333,1.750720461,63.6458879,0.1245,0.131855503,0.104108218
17-09-1997,0.1729,0.175,0.1667,0.1703,217300,0.122038,,,0.0026,0.0026,0,0.004136667,0.00214,1.933021807,65.90546999,0.126496667,0.134335793,0.104766843
18-09-1997,0.1719,0.1735,0.1641,0.1646,177400,0.123008,,,-0.0057,0,0.0057,0.004066667,0.00233,1.745350501,63.57477853,0.128233333,0.136288323,0.105362198
19-09-1997,0.169,0.2042,0.1688,0.1974,744101,0.124394,,,0.0328,0.0328,0,0.00516,0.00221,2.334841629,70.01356852,0.131183333,0.140231012,0.106277997
22-09-1997,0.2,0.2339,0.1974,0.225,1411801,0.126602,,,0.0276,0.0276,0,0.00589,0.00221,2.665158371,72.71604938,0.134863333,0.145699979,0.10745931
